Subsystems,t0000_1,t0000_2,t0005,t0060,t1440,t2880,Genes
"Glycerophospholipid Metabolism",0,0,0,0,0,0,DGKI
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"D-alanine metabolism",0,0,0,0,0,0,DAO
"Transport, Extracellular",0,100,0,0,0.6010442,-100,SLC36A1
"Transport, Lysosomal",0,0,0,0,0,0,SLC36A1
"D-alanine metabolism",0,0,0,0,0,0,
"D-arg and D-orn metabolism",0,0,0,0,0,0,DAO
"Ascorbate and Aldarate Metabolism",0,0,0,0,0,0,
"Ascorbate and Aldarate Metabolism",0,0,0,0,0,0,GLRX,GLRX2
"Alanine and Aspartate Metabolism",0,0,0,0,0,0,DDO
"Transport, Nuclear",0,0,0,0,0,0,
"Fatty Acid Metabolism",0,0,0,0,0,0,DCI
"Nucleotides",0,0,0,0,0,0,
"Nucleotides",1000,1000,1000,999.9983,1000,999.9982,DCK
"Nucleotides",-1000,-1000,-1000,-1000,-1000,-1000,DCK
"Pyrimidine Catabolism",-1000,0.002071919,-999.9988,-1000,0.0004790695,-999.9998,DCTD
"Transport, Peroxisomal",0,0,0,0,0,0,
"Carnitine shuttle",0,0,0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,0,0,
"Tyrosine metabolism",0,0,0,0,0,0,DCT
"Transport, Nuclear",0,0,0,0.001695549,0,0.001777389,
"Pyrimidine Catabolism",999.9983,0,999.9973,999.9966,0,999.9982,AICDA,CDA
"Nucleotides",0,0,0,0.001695549,0,0.001777389,AICDA
"Transport, Extracellular",0,0,0,0,0,0,
"Arginine and Proline Metabolism",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,SLC22A2
"Transport, Mitochondrial",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"Fatty acid elongation",2.788118,0.007449485,2.764132,0,0,0,SCD
"Fatty acid elongation",0,0,0,0,0,0,FADS2
"Fatty acid elongation",0.01274148,0,0.2460528,0,0,0,SCD
"Fatty acid elongation",0.01274148,0,0.009060788,0,0.008513697,0.0382911,SCD
"Fatty acid elongation",0,0,0.009060788,0,0,0.0382911,SCD
"Fatty acid elongation",0.01274148,0,0.009060788,0,0,0,FADS2
"Fatty acid elongation",0.01274148,0,0.009060788,0,0.008513697,0.0382911,FADS2
"Fatty acid elongation",0,0,0.009060788,0,0,0.0382911,FADS2
"Fatty acid elongation",0,0,0,0,0,0,FADS2
"Fatty acid elongation",0,0,0,0,0,0,FADS1
"Fatty acid elongation",0,0,0,0,0,0,FADS1
"Fatty acid elongation",0,0,0,0,0,0,
"Fatty acid elongation",0,0,0,0,0,0,
"Fatty acid elongation",0,0,0,0,0,0,FADS2
"Triacylglycerol Synthesis",0.03118125,0.03118125,0.03118125,0.03118125,0.03118125,0.03118125,DGAT2,DGAT1
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Peroxisomal",0,0,0,0,0,0,
"Nucleotides",-0.001723473,-0.001723473,-0.001723473,-0.001723473,-0.001718665,-0.001723473,GUK1
"Nucleotides",0,0,0,0,0,0,
"Nucleotides",0,0,0,0,0,0,DGUOK
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Nuclear",0,0,0,0,0,0,
"Pentose and Glucuronate Interconversions",0.001485022,0,0.001485022,0.001485022,0.001485022,0.001485022,
"Transport, Extracellular",0,0,0,0,0,0,SLC2A1,SLC2A3,SLC2A4
"Triacylglycerol Synthesis",0,0,0,0,0,0,GNPAT
"Triacylglycerol Synthesis",0,0,0,0,0,0,GNPAT
"Transport, Peroxisomal",0,0,0,0,0,0,
"Cholesterol Metabolism",0,0,0,0,0.01682654,0.01682654,DHCR24
"Cholesterol Metabolism",0,0,0,0,0,0,DHCR24
"Cholesterol Metabolism",0.01682654,0.01682654,0.01682654,0.01682654,0,0,DHCR24
"Cholesterol Metabolism",0.01682654,0.01682654,0.01682654,0.01682654,0,0,DHCR7
"Cholesterol Metabolism",0,0,0,0,0.01682654,0.01682654,DHCR7
"Sphingolipid Metabolism",0,0,0,0,0.002732612,0,DEGS1
"Sphingolipid Metabolism",0.002732612,0.002732612,0.002732612,0.002732612,0,0.002732612,DEGS1
"Ubiquinone Biosynthesis",0,0,0,0,0,0,COQ3
"Steroid Metabolism",0,0,0,0,0,0,SULT1E1,SULT2A1
"Transport, Extracellular",0,0,0,0,0,0,SLCO1B1,SLCO2B1,SLCO1B3,SLCO1A2
"Transport, Extracellular",0,0,0,0,0,0,
"Folate Metabolism",0.002573871,0.002573871,0.002573871,0.002573871,0.002573871,0.002573871,DHFR
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Pyrimidine Biosynthesis",0.02106719,0.02106719,0.02106719,0.02106719,0.02106719,0.02106719,DHODH
"Pyrimidine Biosynthesis",-0.02106719,-0.02106719,-0.02106719,-0.02106719,-0.02106719,-0.02106719,CAD
"Pyrimidine Catabolism",0,0,0,0,0,0,DPYS,DPYSL2,DPYSL3
"Pyrimidine Catabolism",0,0,0,0,0,0,
"Tetrahydrobiopterin",0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,QDPR
"Tetrahydrobiopterin",0,0,0,0,0,0,
"Transport, Nuclear",-0.0006473805,-999.9772,-999.9837,0.002543323,-0.002094801,0.00296679,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Nuclear",0.0006473805,999.9772,999.9837,-0.002543323,0.002094801,-0.00296679,
"Arginine and Proline Metabolism",0,0,0,0,0,0,
"Carnitine shuttle",0,0,0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Cholesterol Metabolism",0,0,0,0,0,0,GGPS1
"Cholesterol Metabolism",0.03365308,0.03365308,0.03365308,0.03365308,0.03365308,0.03365308,FDPS
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,0,0,DMGDH
"Transport, Mitochondrial",0,0,0,0,0,0,
"Carnitine shuttle",0,0,0,0,0,0,
"Carnitine shuttle",0,0,0,0,0,0,
"Carnitine shuttle",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"NAD Metabolism",0,0,0,0,0,0,ENPP1,ENPP2,ENPP3
"Transport, Nuclear",0,-4.816179,0,-2.215529,-499.9979,0,
"Selenoamino acid metabolism",0,0,0,0,0,0,DNMT1,TRDMT1,DNMT3A,DNMT3B
"Methionine Metabolism",0,0,0,0,0,0,DNMT1,TRDMT1,DNMT3A,DNMT3B
"Transport, Mitochondrial",0,1000,1000,0,0,1000,SLC25A19
"Transport, Mitochondrial",1000,0,0,1000,0,1000,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",1000,0,0,0,1000,0,SLC25A19
"Transport, Mitochondrial",1000,1000,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,1000,1000,1000,1000,SLC25A19
"Transport, Mitochondrial",0,0,0,1000,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,1000,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,1000,0,993.8204,0,SLC25A19
"Transport, Mitochondrial",1000,1000,0,1000,0,0,SLC25A19
"Transport, Mitochondrial",1000,1000,0,0,1000,1000,SLC25A19
"Transport, Mitochondrial",0,1000,0,0,1000,0,SLC25A19
"Transport, Mitochondrial",0,0,0,1000,0,0,SLC25A19
"Transport, Mitochondrial",0,1000,1000,0,1000,1000,SLC25A19
"Transport, Mitochondrial",1000,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,1000,1000,1000,1000,SLC25A19
"Transport, Mitochondrial",1000,1000,0,1000,0,1000,SLC25A19
"Transport, Mitochondrial",0,1000,1000,0,1000,0,SLC25A19
"Transport, Mitochondrial",0,0,0,1000,0,0,SLC25A19
"Transport, Mitochondrial",0,1000,1000,0,0,0,SLC25A19
"Transport, Mitochondrial",1000,0,0,0,993.8204,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,6.179587,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,1000,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",1000,0,0,1000,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,1000,SLC25A19
"Transport, Mitochondrial",0,641.6786,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,6.179587,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,6.179587,0,SLC25A19
"Transport, Mitochondrial",0,0,0,1000,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,1000,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",1000,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0.01091561,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,1000,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A19
"Transport, Mitochondrial",1000,358.3214,0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,1000,0,1000,1000,SLC25A19
"Ascorbate and Aldarate Metabolism",0,0,0,0,0,0,
"Ascorbate and Aldarate Metabolism",0,0,0,0,0,0,
"Ascorbate and Aldarate Metabolism",0,0,0,0,0,0,
"Ascorbate and Aldarate Metabolism",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,DAD1,DDOST,RPN1,RPN2
"N-Glycan Biosynthesis",0,0,0,0,0,0,DAD1,DDOST,RPN1,RPN2
"N-Glycan Biosynthesis",0,0,0,0,0,0,DOLPP1
"N-Glycan Biosynthesis",0,0,0,0,0,0,DOLPP1
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,ALG6
"N-Glycan Biosynthesis",0,0,0,0,0,0,ALG6
"N-Glycan Biosynthesis",0,0,0,0,0,0,ALG8
"N-Glycan Biosynthesis",0,0,0,0,0,0,ALG8
"N-Glycan Biosynthesis",0,0,0,0,0,0,ALG10
"N-Glycan Biosynthesis",0,0,0,0,0,0,ALG10
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,ALG3
"N-Glycan Biosynthesis",0,0,0,0,0,0,ALG3
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,ALG12
"N-Glycan Biosynthesis",0,0,0,0,0,0,ALG12
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,DPM3,DPM1,DPM2
"N-Glycan Biosynthesis",0,0,0,0,0,0,DPM3,DPM1,DPM2
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"Tyrosine metabolism",0,0,0,0,0,0,DBH,MOXD1
"Tyrosine metabolism",0,0,0,0,0,0,TYR
"Tyrosine metabolism",0,0,0,0,0,0,COMT
"Tyrosine metabolism",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Tyrosine metabolism",0,0,0,0,0,0,SULT1A2,SULT1A1,SULT1A3
"Transport, Extracellular",-66.66667,-66.66667,-66.66667,-66.66667,-66.66667,-66.66667,SLC18A1,SLC18A2
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC6A2,SLC6A3
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC22A3,SLC22A2
"D-arg and D-orn metabolism",0,0,0,0,0,0,DAO
"CoA Biosynthesis",0,0,0,0,0,0,COASY
"CoA Catabolism",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Glycolysis/Gluconeogenesis",0,0,0,0,0,0,PGAM1,PGAM2,BPGM
"Glycolysis/Gluconeogenesis",0,0,0,0,0,0,PGAM1,PGAM2,BPGM
"Ubiquinone Biosynthesis",0,0,0,0,0,0,
"Cholesterol Metabolism",0.1009592,0.1009592,0.1009592,0.1009592,0.1009592,0.1009592,MVD
"Miscellaneous",0,0,0,0,0,0,
"Arginine and Proline Metabolism",0,0,0,0,0,0,DAO
"Pentose Phosphate Pathway",1.712425,0,1.723285,1.297078,1.732256,0,RBKS
"Transport, Extracellular",0,0,0,0,0,0,
"Pentose Phosphate Pathway",1.712425,0,1.723285,1.297078,1.732256,0,
"Sphingolipid Metabolism",0.002732612,0.002732612,0.002732612,0.002732612,0.002732612,0.002732612,
"Transport, Nuclear",1000,1000,1000,1000,1000,1000,
"Nucleotides",0,0,0,0,0,0,DTYMK
"Transport, Nuclear",-1000,-1000,-1000,-1000,-1000,-1000,
"Transport, Nuclear",0.0006473805,0.0005019522,0.001374211,0.002543323,0.002094801,0.002365377,
"Transport, Nuclear",-0.0006473805,-0.0005019522,-0.001374211,-0.002543323,-0.002094801,-0.002365377,
"Pyrimidine Catabolism",0,0,0,0,0,0,DPYD
"Pyrimidine Catabolism",0,0,0,0,0,0,DPYD
"Nucleotides",999.9983,0,1000,999.9597,0,1000,TK1,TK2
"Nucleotides",631.6018,641.5701,0,0,0,0,TK2
"Nucleotides",0,0,-0.002748422,0.03858672,0,0,UPP2,NP
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Nuclear",0,0,0,-0.001695549,0,-0.001777389,
"Nucleotides",0,0,0,0,0,0,DUT
"Nucleotides",0.0006473805,0.0005019522,0.001374211,0.002543323,0.002094801,0.002365377,DUT
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,SLC16A8,SLC16A1,SLC16A3,SLC16A7
"Transport, Mitochondrial",0,0,0,0,0,0,SLC16A1
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Cholesterol Metabolism",0.01682654,0.01682654,0.01682654,0.01682654,0,0,EBP
"Cholesterol Metabolism",0,0,0,0,0.01682654,0.01682654,EBP
"Alkaloid biosynthesis II",0,0,0,0,0,0,
"Valine, Leucine, and Isoleucine Metabolism",0.03628025,0.03628025,0.03628025,0.03628025,0.03628025,0.03628025,ECHS1,HADHA,HADHB
"Tryptophan metabolism",-0.08843799,-0.08843799,-0.08843799,-0.08843799,-0.08843799,-0.08843799,ECHS1,HADHA,HADHB,AUH
"Tryptophan metabolism",0,0,0,0,0,0,ECH1,EHHADH
"Valine, Leucine, and Isoleucine Metabolism",0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,ECHS1,HADHA,HADHB
"Alkaloid biosynthesis II",0,0,0,0,0,0,AADAC
"Arginine and Proline Metabolism",0,0,0,0,0,0,GOT1
"Arginine and Proline Metabolism",0,0,0,0,0,0,GOT2
"Arginine and Proline Metabolism",0,0,0,0,0,0,GOT2
"Carnitine shuttle",0,0,0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,0,0,
"Carnitine shuttle",0,0,0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,0,0,
"N-Glycan Degradation",0,0,0,0,0,0,ENGASE
"N-Glycan Degradation",0,0,0,0,0,0,ENGASE
"N-Glycan Degradation",0,0,0,0,0,0,
"Keratan sulfate degradation",0,0,0,0,0,0,
"N-Glycan Degradation",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"Glycolysis/Gluconeogenesis",0.30052,2.298619,0.3014866,0.7158667,0.301523,2.012945,ENO1,ENO2,ENO3,
"Glycerophospholipid Metabolism",0,0,0,0,0,0,PCYT2
"Transport, Extracellular",-100,-100,-100,-23.68053,-100,-100,SLCO1B1,SLCO4A1,SLCO1B3,SLCO1C1,SLCO1A2
"Transport, Extracellular",-100,-100,-100,-23.68053,-100,-100,ABCC4
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,999.8302,1000,1000,1000,
"Transport, Extracellular",0,0,0,0,0,0,ABCC1
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,ABCC3
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLCO1B1,SLCO2B1,SLCO4A1,SLCO3A1,SLCO1B3,SLCO1C1,SLCO1A2
"Transport, Extracellular",100,100,100,100,100,100,SLC10A1
"Transport, Endoplasmic Reticular",0,0,-999.8302,-1000,-1000,-1000,
"Steroid Metabolism",0,0,0,0,0,0,SULT1E1,SULT1A1
"Fatty acid oxidation",0.004564092,0,0.002729519,0.004144345,3.469447e-18,0,ETFA,ETFB
"Fatty acid oxidation",0.004564092,0,0.002729519,0.004144345,3.469447e-18,0,ETFDH
"Glycerophospholipid Metabolism",0,0.05794951,0.05794951,0.05794951,0.05313286,0,CHKA,ETNK2,ETNK1
"Glycerophospholipid Metabolism",0,0,0,0,0,0,PHOSPHO1
"Glycolysis/Gluconeogenesis",0,0,0,0,0,0,CYP2E1
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Peroxisomal",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0.07477153,0.07477153,0.07477153,0.07477153,0.07477153,0.07477153,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0.08948908,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0.005,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",4.672589,3.896145,4.672589,4.672589,4.672589,2.620858,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,2.051731,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
"",0,0,0,0,0,0,
