Subsystems,t0005,t0060,t1440,t2880,Genes
"Transport, Extracellular",-100,-100,-100,-100,
"Arginine and Proline Metabolism",0,0,0,0,ADC
"Transport, Extracellular",-100,-100,-100,0.05,SLC3A2,SLC7A6
"Urea cycle/amino group metabolism",0.04895511,0.04895415,0.04894938,0.04895081,ARG1
"Urea cycle/amino group metabolism",0,0,0,0,ARG2
"Alanine and Aspartate Metabolism",0.001,0.001,0.001,0,ASL
"Alanine and Aspartate Metabolism",0.001,0.001,0.001,0,ASS1
"Transport, Extracellular",0.05,100,100,-100,SLC6A14
"Transport, Extracellular",100,0.05,0.05,100,SLC38A4,SLC7A1,SLC7A2,SLC7A3
"Transport, Mitochondrial",0,0,0,0,SLC25A15,SLC25A2
"Sphingolipid Metabolism",0,0,0,0,ARSA
"R Group Synthesis",0.004350911,0.00435488,0.004374729,0.004368775,
"R Group Synthesis",0.001420245,0.001421541,0.00142802,0.001426077,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0.007412322,0,0.007435971,
"R Group Synthesis",0.008463503,0,0.1264211,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0.008463503,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0.1264211,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,0,0,0,
"R Group Synthesis",0,6.254056,0,0.3566722,
"R Group Synthesis",-0.1021202,6.142313,0.1331488,0.2445763,
"R Group Synthesis",0.001,0.001,0.001,0.001,
"R Group Synthesis",-0.1118558,-0.1119569,-0.1124627,-0.1123109,
"R Group Synthesis",0.001,0.001,0.001,0.001,
"R Group Synthesis",-0.03199742,-0.0320257,-0.03216711,-0.03212469,
"R Group Synthesis",0.001,0.001,0.001,0.001,
"Sphingolipid Metabolism",0,0,0,0,ASAH1
"Ascorbate and Aldarate Metabolism",0,0,0.01229508,0.0001101449,
"Transport, Extracellular",-100,100,-100,-100,
"Transport, Extracellular",100,-100,100,100,SLC23A2,SLC23A1
"Transport, Extracellular",-100,100,0.001,0.001,SLC1A5
"Transport, Extracellular",-99.95,-100,0.001,0.001,SLC1A5
"Transport, Extracellular",-100,-100,0.001,0.001,SLC1A5
"Alanine and Aspartate Metabolism",0.03636114,0.03634869,0.03628647,0.03630514,ASRGL1
"Alanine and Aspartate Metabolism",0,0,0,0,ASNS
"Transport, Extracellular",-100,0.1,0.001,0.001,SLC1A5
"Transport, Extracellular",-100,-100,0.001,0.001,SLC1A5
"Transport, Extracellular",100,-100,100,-99.95,SLC6A14,SLC38A2,SLC38A4,SLC38A1
"Transport, Extracellular",-100,100,-99.95,100,SLC38A3,SLC38A5
"Transport, Mitochondrial",0.03636114,0.03634869,0.03628647,0.03630514,
"beta-Alanine metabolism",0.001,0.001,0,0,GAD1
"Pyrimidine Biosynthesis",0.02194298,0.02196209,0.02105764,0.02102897,CAD
"Transport, Extracellular",0,0,0,0,SLC1A1,SLC1A2,SLC1A3,SLC1A6,SLC1A7
"Transport, Peroxisomal",0,0,0,0,
"Transport, Mitochondrial",-999.2137,996.6768,-2.71089,-1.149761,SLC25A13,SLC25A12
"Alanine and Aspartate Metabolism",0,0,0,0,
"Alanine and Aspartate Metabolism",-1000,995.9863,-3.403175,-1.936438,GOT1
"Alanine and Aspartate Metabolism",999.2501,-996.737,2.650644,1.186066,GOT2
"Transport, Extracellular",0.05,0.05,0.05,0.05,SLC1A1,SLC1A2,SLC1A3,SLC1A6,SLC1A7
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Nucleotides",0,0,0,0,ENTPD1,ENTPD2,ENTPD6,ENTPD3,ENTPD5
"Nucleotides",0,0,0,0,ENTPD1,ENTPD2,ENTPD6,ENTPD3,ENTPD5
"Oxidative Phosphorylation",761.4988,1.306845,253.4376,249.0901,ATP5H,ATP5L,NSF,ATP5A1,ATP5B,ATP5C1,ATP5D,ATP5E,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5I,ATP5J,ATP5J2
"Transport, Lysosomal",0.00025,0.001,0,0.00025,TCIRG1,ATP6V1G3,ATP6V0A2,ATP6V0D2,ATP6V1C2,ATP6V0A4,ATP6V1D,ATP6V1H,ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V0C,ATP6V1C1,ATP6V1E1,ATP6V0B,ATP6V1G2,ATP6V0A1,ATP6V0E1,ATP6V1E2,ATP6V0D1,ATP6V1F,ATP6V1G1
"Transport, Mitochondrial",1000,1000,1000,1000,SLC25A4,SLC25A5,SLC25A6
"Transport, Nuclear",500,0,4.701361,0,
"Transport, Peroxisomal",0.339092,0.3013667,0.3027403,0.3023283,
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"N-Glycan Degradation",0,0,0,0,MAN2C1
"N-Glycan Degradation",0,0,0,0,MAN2B1
"Sphingolipid Metabolism",0,0,0,0,B3GALNT1
"Sphingolipid Metabolism",0,0,0,0,B3GALT4
"Sphingolipid Metabolism",0,0,0,0,B3GALT4
"Sphingolipid Metabolism",0,0,0,0,B3GALT4
"Sphingolipid Metabolism",0,0,0,0,B3GALT4
"Sphingolipid Metabolism",0,0,0,0,B3GALT5
"Blood Group Biosynthesis",0,0,0,0,
"Blood Group Biosynthesis",0,0,0,0,
"Blood Group Biosynthesis",0,0,0,0,B3GNT2
"Blood Group Biosynthesis",0,0,0,0,B3GNT3
"Blood Group Biosynthesis",0,0,0,0,B3GNT3
"Blood Group Biosynthesis",0,0,0,0,B3GNT3
"Blood Group Biosynthesis",0,0,0,0,B3GNT3
"Blood Group Biosynthesis",0,0,0,0,B3GNT3
"Blood Group Biosynthesis",0,0,0,0,B3GNT3
"Sphingolipid Metabolism",0,0,0,0,B3GNT3
"Sphingolipid Metabolism",0,0,0,0,B3GNT3
"Sphingolipid Metabolism",0,0,0,0,B3GNT3
"Sphingolipid Metabolism",0,0,0,0,B3GNT3
"Sphingolipid Metabolism",0,0,0,0,B3GNT3
"Sphingolipid Metabolism",0,0,0,0,B3GNT3
"Sphingolipid Metabolism",0,0,0,0,B3GNT3
"Sphingolipid Metabolism",0,0,0,0,B3GNT3
"Sphingolipid Metabolism",0,0,0,0,B3GNT3
"Blood Group Biosynthesis",0,0,0,0,B3GNT5
"Bile Acid Biosynthesis",0,0,0,0,BAAT
"Bile Acid Biosynthesis",0.001,0,0,0,BAAT
"Bile Acid Biosynthesis",0.001,0,0,0,BAAT
"Bile Acid Biosynthesis",0,0,0,0,BAAT
"Bile Acid Biosynthesis",0,0,0,0,BAAT
"Biotin Metabolism",495.1363,0,0,0,HLCS
"Biotin Metabolism",0,0,0,0,HLCS
"Transport, Extracellular",0,0,0,0,SLC32A1
"Transport, Mitochondrial",0.001,0.001,0.001,0,
"beta-Alanine metabolism",0,0,0.001,0,ALDH1A1,ALDH9A1,ALDH3A2,ALDH7A1,ALDH1A2
"beta-Alanine metabolism",0,0,0,0,ALDH2,ALDH1B1,ALDH4A1
"Lysine Metabolism",0,0,0,0,BBOX1
"Vitamin A Metabolism",0,0,0,0,BCMO1
"Stilbene, coumarine and lignin biosynthesis",0,0,0,0,GBA3
"Butanoate Metabolism",0,0,0,0,BDH1
"N-Glycan Biosynthesis",0,0,0,0,ALG1
"N-Glycan Biosynthesis",0,0,0,0,ALG1
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,ALDH9A1
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,BHMT2,BHMT
"Transport, Extracellular",0.001,-100,-100,-100,SLCO1B1
"Transport, Extracellular",0.001,-100,-100,-100,ABCC1
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Extracellular",0.001,-100,-100,-100,SLCO1B1,SLCO1B3
"Transport, Extracellular",0.001,-100,-100,-100,ABCC1
"Transport, Endoplasmic Reticular",0,0,0,0,
"Heme Degradation",0,0,0,0,BLVRA,BLVRB
"Transport, Extracellular",0,0,0,0,SLCO1B1
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Nuclear",495.1363,0,0,0,
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,PIGB
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,PIGB
"Nucleotides",0,0,0,0.001,BPNT1
"Nucleotides",0,0,0,0.001,BPNT1
"Biotin Metabolism",0,0,0,0,BTD
"Biotin Metabolism",495.1363,0,0,0,BTD
"Biotin Metabolism",0,0,0,0,BTD
"Biotin Metabolism",0,0,0,0,BTD
"Biotin Metabolism",495.1363,0,0,0,HLCS
"Biotin Metabolism",0,0,0,0,HLCS
"Transport, Extracellular",100,100,100,100,SLC16A1
"Transport, Mitochondrial",0,0,0,0,SLC16A1
"Transport, Extracellular",0,0,-100,-100,SLC5A6
"Transport, Extracellular",-100,-100,0,0,SLC19A3
"Transport, Nuclear",-495.1363,0,0,0,
"Pyrimidine Catabolism",0,0,0,0,UPB1
"Transport, Mitochondrial",0,0,0,0,SLC16A1
"Transport, Extracellular",0,0,0,0,SLC16A1
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"N-Glycan Degradation",0,0,0,0,MANBA
"Fatty Acid Metabolism",0,0,0,0,
"Cholesterol Metabolism",0.01872733,0.0167426,0.01681891,0.01679601,TM7SF2
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT2
"Carnitine shuttle",0.001,0.001,0.001,0.001,SLC25A20
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT2
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT2
"Carnitine shuttle",0.001,0.001,0.001,0.001,SLC25A20
"Carnitine shuttle",0.001,0.001,0.001,0.001,SLC25A20
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT2
"Carnitine shuttle",0.001,0.001,0.001,0.001,SLC25A20
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT2
"Carnitine shuttle",0.001,0.001,0.001,0.001,SLC25A20
"Carnitine shuttle",0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,
"Transport, Peroxisomal",0,0,0,0,
"Carnitine shuttle",0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,
"Limonene and pinene degradation",0,0,0,0,HADHA,HADHB,AUH
"Limonene and pinene degradation",0,0,0,0,ECH1,EHHADH
"Cholesterol Metabolism",0.01872733,0.0167426,0.01681891,0.01679601,NSDHL
"Cholesterol Metabolism",0,0,0,0,NSDHL
"Cholesterol Metabolism",0.01872733,0.0167426,0.01681891,0.01679601,HSD17B4
"Cholesterol Metabolism",0.01872733,0.0167426,0.01681891,0.01679601,SC4MOL
"Cholesterol Metabolism",0,0.0167426,0.01681891,0.01679601,NSDHL
"Cholesterol Metabolism",0.01872733,0,0,0,NSDHL,SC4MOL
"Transport, Extracellular",-100,-100,-100,-100,ATP2B1,ATP2B2,ATP2B3,ATP2B4
"Transport, Extracellular",0,0,0,0,ABCC5,ABCC4
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Glycolysis/Gluconeogenesis",0,0,0,0,CAT
"ROS Detoxification",0,0,0,0.1795013,CAT
"Miscellaneous",0,3.127827,0.07963903,0,CAT
"Transport, Extracellular",0,100,0,0,SLC8A2,SLC8A1,SLC8A3
"Vitamin B12 Metabolism",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,MMAA
"Vitamin B12 Metabolism",0,0,0,0,MMAA
"Glycolysis/Gluconeogenesis",0,0,0,0,G6PC,G6PC2,G6PC3
"Pyrimidine Biosynthesis",0.02194298,0.02196209,0.02105764,0.02102897,CAD
"Glutamate metabolism",0,0,0,0,CPS1
"Transport, Endoplasmic Reticular",0,0,0,0,
"Eicosanoid Metabolism",0,0,0,0,CBR1
"Eicosanoid Metabolism",0,0,0,0,CBR1
"Transport, Extracellular",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Glycerophospholipid Metabolism",0.003494255,0.003497443,0.003513384,0.003508601,CDIPT
"Transport, Mitochondrial",0,0,-0.004814469,-0.004807916,
"Glycerophospholipid Metabolism",0.004788256,0.004792625,0,0,CDS1
"Glycerophospholipid Metabolism",0,0,0.004814469,0.004807916,CDS2
"Glycerophospholipid Metabolism",0.0528196,0.0528678,0.05692323,0,CEPT1,CHPT1
"Glycerophospholipid Metabolism",0,0,0.001,0.05784439,CEPT1
"Sphingolipid Metabolism",0,0,0,0,CERK
"Transport, Golgi Apparatus",0,0,0,0,COL4A3BP
"Transport, Endoplasmic Reticular",0,0,0.001,0.001,COL4A3BP
"Transport, Golgi Apparatus",0,0,0,0,COL4A3BP
"Transport, Endoplasmic Reticular",0,0,-0.001,-0.001,COL4A3BP
"Transport, Extracellular",0,0,0,0.001,SLC15A2
"Transport, Extracellular",0,0,0,0,ABCC5,ABCC4
"Bile Acid Biosynthesis",0,0,0,0,CH25H
"Glycerophospholipid Metabolism",0,0,0,0,CHAT
"Glycerophospholipid Metabolism",0,0,0,0,CHAT
"Glycerophospholipid Metabolism",0,0,0,0,PHOSPHO1
"Glycerophospholipid Metabolism",0.0528196,0.0528678,0.05692323,0,PCYT1A,PCYT1B
"Transport, Mitochondrial",0,0,-0.004814469,-0.004807916,
"Transport, Extracellular",-100,-100,0,-100,SLCO1B1,SLCO1A2
"Transport, Extracellular",100,0,-100,0,SLC10A1,SLC10A2
"Transport, Extracellular",0,-100,-100,-100,ABCB11,ABCC3
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,CHDH
"Glycerophospholipid Metabolism",0.0528196,0.0528678,0.05692323,0,CHKA,CHKB
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Extracellular",-99.995,-99.995,-99.995,100,SLC5A7
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Nuclear",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Extracellular",100,100,100,-99.995,SLC22A2,SLC22A5
"Steroid Metabolism",0,0,0,0,
"Transport, Extracellular",0,0,0,0,ABCA1
"Transport, Mitochondrial",0,0,0,0,STARD3
"Transport, Mitochondrial",0.01672733,0.0167426,0.01681891,0.01679601,
"Transport, Mitochondrial",-0.01672733,-0.0167426,-0.01681891,-0.01679601,
"Transport, Golgi Apparatus",0,0,0,0,ABCA1
"Aminosugar Metabolism ",0,0,0,0,CHIT1,MANSC1
"Aminosugar Metabolism ",0,0,0,0,CHIA
"Citric Acid Cycle",0,0,0,0,CLYBL
"C5-Branched dibasic acid metabolism",0,0,0,0,
"C5-Branched dibasic acid metabolism",0,0,0,0,
"Transport, Mitochondrial",-1000,-1000,999.9521,-1000,SLC25A15,SLC25A2
"Transport, Extracellular",100,-100,100,100,SLC13A2
"Transport, Extracellular",-100,100,-100,-100,SLC13A5
"Transport, Mitochondrial",0,-0.1912404,0,-2.45718,SLC25A1
"Transport, Mitochondrial",0,0,0,0,SLC25A1
"Urea cycle/amino group metabolism",1000,1000,1000,1000,CKMT1B,CKMT2
"Urea cycle/amino group metabolism",-1000,-1000,-1000,-1000,CKB,CKM
"Transport, Extracellular",50,50,50,-50,SLC26A4
"Transport, Extracellular",-100,-100,-100,100,SLC26A6
"Transport, Extracellular",-100,-100,100,-100,SLC26A6
"Transport, Extracellular",100,50,-100,100,SLC26A9,SLC26A7,SLC26A8,SLC26A3,SLC26A2,SLC26A4
"Transport, Extracellular",0,0,0,100,SLC26A4
"Transport, Extracellular",-100,-100,-100,-100,SLC26A6
"Transport, Extracellular",49.95111,0,100,0,SLC26A6
"Transport, Peroxisomal",0,0,0,0,
"Carnitine shuttle",0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,
"Glycerophospholipid Metabolism",0.0006470007,0.000647591,0.0006505427,0.0006496572,CRLS1
"Transport, Golgi Apparatus",0,0,0,0,SLC35A1
"Transport, Nuclear",0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,CMAS
"Aminosugar Metabolism ",0,0,0,0,CMAS
"Transport, Extracellular",-4.717882,-4.755635,-3.49611,-1.989928,
"Transport, Endoplasmic Reticular",-0.03745467,-0.03348519,-0.03363782,-0.03359203,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Mitochondrial",-2.015514,-1.406465,-3.121477,0.8732467,
"Transport, Nuclear",0,0,0,0,
"Transport, Peroxisomal",-0.112364,-0.1004556,-0.1009134,-0.1007761,
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0.03748831,0.1004556,0.09991345,0.09977609,SLC25A16
"Transport, Nuclear",0,0,0,0,
"Transport, Peroxisomal",-0.112364,-0.1004556,-0.1009134,-0.1007761,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Alkaloid biosynthesis II",0,0,0,0,CES2
"Ubiquinone Biosynthesis",0,0,0,0,COQ3
"Ubiquinone Biosynthesis",0,0,0,0,
"Ubiquinone Biosynthesis",0,0,0,0,COQ6
"Ubiquinone Biosynthesis",0,0,0,0,COQ7
"O-Glycan Biosynthesis",0,0,0,0,GCNT1,GCNT4,GCNT3
"O-Glycan Biosynthesis",0,0,0,0,B3GNT6
"O-Glycan Biosynthesis",0,0,0,0,GCNT3
"O-Glycan Biosynthesis",0,0,0,0,
"O-Glycan Biosynthesis",0,0,0,0,GCNT1
"O-Glycan Biosynthesis",0,0,0,0,
"O-Glycan Biosynthesis",0,0,0,0,
"Ubiquinone Biosynthesis",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,PCYT1A,PCYT1B
"Heme Biosynthesis",0.002,0.002,0,0.001,CPOX
"Transport, Extracellular",0,0,0,0,SLC6A8,
"Urea cycle/amino group metabolism",1000,1000,1000,1000,
"Transport, Extracellular",0,0,0,0,
"Transport, Peroxisomal",0.002,0,0,0,
"Transport, Peroxisomal",0,0,0,0,
"Transport, Extracellular",-100,-100,-100,-100,SLC22A5
"Transport, Extracellular",-100,-100,-100,-100,SLC22A4
"Transport, Mitochondrial",0.015,0.013,0.013,0.013,SLC25A20
"Transport, Extracellular",-100,-100,-100,-100,SLC22A4
"Transport, Extracellular",100,100,100,100,SLC22A5
"Transport, Peroxisomal",0,0,0,0,
"Urea cycle/amino group metabolism",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Extracellular",-100,-100,-100,-100,
"Chondroitin sulfate degradation",0,0,0,0,
"Chondroitin sulfate degradation",0,0,0,0,
"Chondroitin sulfate degradation",0,0,0,0,
"Chondroitin sulfate degradation",0,0,0,0,
"Chondroitin sulfate degradation",0,0,0,0,
"Carnitine shuttle",0.002,0,0,0,
"Fatty Acid Metabolism",0,0,0,0,CRAT,CROT
"Carnitine shuttle",0.002,0,0,0,CRAT
"Fatty Acid Metabolism",0,0,0,0,CRAT
"Fatty Acid Metabolism",0.001,0.001,0.001,0.001,
"Fatty Acid Metabolism",0,0,0,0,CRAT
"Carnitine shuttle",0.001,0.001,0.001,0.001,
"Pyrimidine Catabolism",0,0,0,0,
"Transport, Extracellular",0,0,0,0,SLC29A2
"Transport, Extracellular",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Citric Acid Cycle",0,0,0,2.268404,CS
"Nucleotides",0.009415133,0.01042464,0.01634025,0.0114579,CTPS
"Pyrimidine Biosynthesis",0.001,0,0.001,0,CTPS2
"Transport, Nuclear",0,0,0,0,
"Cysteine Metabolism",0,0,0,0,TST
"Transport, Extracellular",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Oxidative Phosphorylation",3.096465,0.05975489,1.229508,0.01101449,COX6B2,COX4I1,COX5B,COX6A1,COX6A2,COX6B1,COX6C,COX7A1,COX7A2,COX7B,COX7C,COX8A,COX7B2,COX8C,COX1,COX2,COX3,COX4I2,COX7A2L,COX5A
"Oxidative Phosphorylation",6.097379,0.02296209,0.3283914,0.02202897,UQCR,CYC1,UQCRQ,UCRC,CYTB,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH
"Transport, Extracellular",-100,-100,-0.05,-100,SLC1A4,SLC1A5
"Taurine and hypotaurine metabolism",0.001,0,0,0,
"Transport, Extracellular",-100,0.05,0.001,0.001,SLC1A5
"Transport, Extracellular",-0.7,-100,0.001,0.001,SLC1A5
"Cysteine Metabolism",0,0,0,0,
"Transport, Extracellular",-100,-100,-100,19.49327,SLC7A10,SLC3A2
"Transport, Extracellular",-100,-100,-100,-100,SLC7A8,SLC3A2
"Transport, Extracellular",-100,-100,-100,-100,SLC7A10,SLC3A2
"Cysteine Metabolism",0,0,0,0,
"Taurine and hypotaurine metabolism",0.09555083,0.09654769,0.09653195,0.09653667,CDO1
"Transport, Extracellular",-100,-100,-100,-100,SLC1A4,SLC1A5
"Cysteine Metabolism",0,0,0,0,GOT1
"Cysteine Metabolism",0,0,0,0,GOT2
"Cysteine Metabolism",0.04791472,0.04791282,0.0479033,0.04790616,CTH
"Transport, Extracellular",99.9,100,-0.05,100,SLC7A11,SLC3A2
"Transport, Extracellular",-100,-100,-100,-100,SLC1A4,SLC1A5
"Methionine Metabolism",0.04791472,0.04791282,0.0479033,0.04790616,CBS
"Transport, Extracellular",-99.9,-100,0.05,-100,SLC7A9,SLC3A1
"Transport, Extracellular",-100,-100,-100,100,SLC6A14
"Transport, Extracellular",-99.2,-100,-99.899,-100,SLC43A2
"Pyrimidine Catabolism",0,0,0,0,AICDA,CDA
"Nucleotides",1000,615.6398,0,681.9822,UCK2,UCK1
"Nucleotides",0,0,0.004814469,0.004807916,
"Nucleotides",0,0,0.005145407,0,AICDA
"Transport, Extracellular",-100,0,100,0,SLC29A1,SLC29A2
"Transport, Extracellular",100,-100,0,-100,SLC28A3,SLC28A1
"Transport, Extracellular",0,100,-100,100,SLC28A3
"Transport, Lysosomal",0,0,0,0,SLC29A3
"Transport, Mitochondrial",0,0,0.004814469,0.004807916,SLC29A1
"Transport, Nuclear",0,0,0.005145407,0,
"Nucleotides",1000,1000,1000,1000,CMPK1
"Nucleotides",-1000,-1000,4.675102,-1000,CMPK1
"Nucleotides",375,-125,375,375,CMPK1
"Nucleotides",1000,1000,1000,1000,CMPK1
"Nucleotides",-250,-250,-250,-250,CMPK1
"Nucleotides",1000,1000,1000,1000,CMPK1
"Nucleotides",1000,1000,1000,1000,CMPK1
"Nucleotides",762.535,0,-0.001722691,-0.001,CMPK1
"Nucleotides",-250,-250,-250,-250,CMPK1
"Nucleotides",-1000,-1000,-1000,-1000,CMPK1
"Nucleotides",-1000,-1000,-1000,-1000,CMPK1
"Nucleotides",0,0,0.004814469,0.004807916,
"Nucleotides",-1000,1000,-1000,-1000,CMPK1
"Nucleotides",-1000,1000,1000,1000,CMPK1
"Nucleotides",1000,1000,1000,1000,CMPK1
"Nucleotides",1000,1000,995.4078,1000,AK5
"Nucleotides",-250,-250,-250,-250,CMPK1
"Nucleotides",237.465,-1000,-1000,-1000,AK5
"Nucleotides",-250,-250,-250,-250,CMPK1
"Nucleotides",-1000,-1000,-1000,-1000,CMPK1
"Nucleotides",375,-125,375,375,CMPK1
"Nucleotides",1000,3.358958,999.9594,1000,CMPK1
"Nucleotides",375,-125,375,375,CMPK1
"Nucleotides",0.04719273,996.6804,-1000,0.04738649,CMPK1
"Nucleotides",500,500,500,500,CMPK1
"Nucleotides",-1000,-999.9922,-1000,-1000,CMPK1
"Nucleotides",375,-125,375,375,CMPK1
"Nucleotides",-1000,-1000,-1000,-1000,CMPK1
"Nucleotides",-1000,-1000,-1000,-1000,CMPK1
"Pyrimidine Catabolism",0,0,0,0,
"Nucleotides",0,0,0,0,ADA
"Nucleotides",0,0,0,0,ADA
"Nucleotides",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Glycerophospholipid Metabolism",-0.08900205,-0.08908325,-0.09430375,-0.09417539,DGKA,DGKB,DGKG,DGKH,DGKQ,DGKZ,DGKE,DGKD,DGKI
"Glycerophospholipid Metabolism",0,0,0,0,DGKI
"Transport, Endoplasmic Reticular",0,0,0,0,
"D-alanine metabolism",0,0,0,0,DAO
"Transport, Extracellular",0,-29.45059,-100,0,SLC36A1
"Transport, Lysosomal",0,0,0,0,SLC36A1
"D-alanine metabolism",0,0,0,0,
"D-arg and D-orn metabolism",0,0,0,0,DAO
"Ascorbate and Aldarate Metabolism",0,0,0,0,
"Ascorbate and Aldarate Metabolism",0,0,0,0,GLRX,GLRX2
"Alanine and Aspartate Metabolism",0,0,0,0,DDO
"Transport, Nuclear",0,0,0,0,
"Fatty Acid Metabolism",0,0,0,0,DCI
"Nucleotides",0,0,0,0,
"Nucleotides",1000,1000,1000,1000,DCK
"Nucleotides",-1000,-1000,-1000,-1000,DCK
"Pyrimidine Catabolism",-0.001713312,-0.001714875,-1000,-0.0007203465,DCTD
"Transport, Peroxisomal",0,0,0,0,
"Carnitine shuttle",0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,
"Tyrosine metabolism",0,0,0,0,DCT
"Transport, Nuclear",0,0,0,0,
"Pyrimidine Catabolism",0,0,1000,0,AICDA,CDA
"Nucleotides",0,0,0,0,AICDA
"Transport, Extracellular",0,0,0,0,
"Arginine and Proline Metabolism",0,0,0,0,
"Transport, Extracellular",0,0,0,0,SLC22A2
"Transport, Mitochondrial",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
